HAGRID,Kingdom,Phylum,Class,Order,Family,Genus,Species,Common_name,Adult_weight_grams,Maximum_longevity_yrs,Specimen_origin,Sample_size,Data_quality,Metabolic_rate_W
149,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Plethodon,cinereus,Eastern red-backed salamander,0.5,25,wild,medium,acceptable,0.000099
2867,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Suncus,etruscus,White-toothed pygmy shrew,2.1,3.2,captivity,small,questionable,0.063
337,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Stellula,calliope,Calliope hummingbird,2.6,7,wild,tiny,acceptable,0.06853
326,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Archilochus,colubris,Ruby-throated hummingbird,3.1,9.1,wild,small,acceptable,0.07832
117,Animalia,Chordata,Amphibia,Caudata,Ambystomatidae,Ambystoma,tigrinum,Tiger salamander,9.402,25,captivity,medium,acceptable,0.00196
2052,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Myotis,nigricans,Black myotis,4.2,7,wild,medium,acceptable,0.027
335,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Selasphorus,rufus,Rufous hummingbird,3.5,8.9,wild,small,acceptable,0.06853
152,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Plethodon,glutinosus,Northern slimy salamander,4.2,20.1,captivity,small,acceptable,0.00191
328,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Calypte,anna,Anna's hummingbird,4.4,8.5,wild,tiny,acceptable,0.1175
2058,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Myotis,yumanensis,Yuma myotis,6.25,14,wild,medium,acceptable,0.047
635,Animalia,Chordata,Aves,Passeriformes,Aegithalidae,Psaltriparus,minimus,Bushtit,5.3,9.1,wild,small,acceptable,0.122375
952,Animalia,Chordata,Aves,Passeriformes,Regulidae,Regulus,regulus,Goldcrest,5.6,7,wild,medium,acceptable,0.184
2048,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Myotis,lucifugus,Little brown bat,10,34,wild,medium,acceptable,0.051
2850,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Cryptotis,parva,Least shrew,4.5,3.5,captivity,medium,acceptable,0.164
2849,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Crocidura,suaveolens,Lesser shrew,7.7,2.8,captivity,small,acceptable,0.112
60,Animalia,Chordata,Amphibia,Anura,Hylidae,Hyla,versicolor,Gray treefrog,7.2,7.8,captivity,medium,acceptable,0.00433
910,Animalia,Chordata,Aves,Passeriformes,Parulidae,Setophaga,americana,Northern parula,7.9,7,wild,tiny,acceptable,0.122375
2106,Animalia,Chordata,Mammalia,Dasyuromorphia,Dasyuridae,Planigale,tenuirostris,Narrow-nosed planigale,5.3,5.2,captivity,small,acceptable,0.063
2508,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Baiomys,taylori,Northern pygmy mouse,8,3.3,captivity,small,acceptable,0.095
2691,Animalia,Chordata,Mammalia,Rodentia,Muridae,Micromys,minutus,Old World harvest mouse,6,3.8,captivity,large,acceptable,0.201
92,Animalia,Chordata,Amphibia,Anura,Ranidae,Lithobates,sylvaticus,Wood frog,7.88,5,unknown,medium,questionable,0.00416
933,Animalia,Chordata,Aves,Passeriformes,Parulidae,Vermivora,cyanoptera,Blue-winged warbler,8.9,9,wild,small,acceptable,0.1505
1974,Animalia,Chordata,Mammalia,Chiroptera,Emballonuridae,Saccopteryx,bilineata,Greater sac-winged bat,7.9,6,wild,medium,acceptable,0.081
2695,Animalia,Chordata,Mammalia,Rodentia,Muridae,Mus,minutoides,Mouse,7.2,4.3,captivity,medium,acceptable,0.129
903,Animalia,Chordata,Aves,Passeriformes,Parulidae,Mniotilta,varia,Black-and-white warbler,10.9,12.2,wild,small,acceptable,0.12727
940,Animalia,Chordata,Aves,Passeriformes,Phylloscopidae,Phylloscopus,collybita,Common chiffchaff and Eurasian chiffchaff,8.3,8,wild,medium,acceptable,0.165
2855,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Sorex,araneus,Eurasian shrew,9,3.2,captivity,small,acceptable,0.348
2636,Animalia,Chordata,Mammalia,Rodentia,Heteromyidae,Perognathus,longimembris,Little pocket mouse,8,8.3,captivity,small,acceptable,0.061
634,Animalia,Chordata,Aves,Passeriformes,Aegithalidae,Aegithalos,caudatus,Long-tailed tit,8.6,11.1,wild,medium,acceptable,0.199
983,Animalia,Chordata,Aves,Passeriformes,Troglodytidae,Troglodytes,troglodytes,Winter wren,9.1,7,unknown,medium,acceptable,0.213
897,Animalia,Chordata,Aves,Passeriformes,Parulidae,Leiothlypis,celata,Orange-crowned warbler,9.2,8.6,wild,small,acceptable,0.151745
911,Animalia,Chordata,Aves,Passeriformes,Parulidae,Setophaga,caerulescens,Black-throated blue warbler,10.2,10,wild,small,acceptable,0.18601
1991,Animalia,Chordata,Mammalia,Chiroptera,Phyllostomidae,Glossophaga,soricina,Pallas's long-tongued bat,10,11,captivity,large,acceptable,0.164
918,Animalia,Chordata,Aves,Passeriformes,Parulidae,Setophaga,dominica,Yellow-throated warbler,9.7,6.1,wild,medium,acceptable,0.1604
923,Animalia,Chordata,Aves,Passeriformes,Parulidae,Setophaga,palmarum,Western palm warbler,10.3,6.6,wild,small,acceptable,0.1554
2066,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Plecotus,auritus,Brown big-eared bat,7.8,30,wild,medium,acceptable,0.082
745,Animalia,Chordata,Aves,Passeriformes,Estrildidae,Lonchura,striata,White-rumped munia,12.3,10,unknown,medium,acceptable,0.21538
879,Animalia,Chordata,Aves,Passeriformes,Paridae,Poecile,atricapillus,Black-capped chickadee,10.4,12.4,wild,large,acceptable,0.252
894,Animalia,Chordata,Aves,Passeriformes,Parulidae,Geothlypis,trichas,Common yellowthroat,9.5,11.5,wild,medium,acceptable,0.17622
970,Animalia,Chordata,Aves,Passeriformes,Sylviidae,Sylvia,curruca,Lesser whitethroat,11.4,9,wild,medium,acceptable,0.199
2105,Animalia,Chordata,Mammalia,Dasyuromorphia,Dasyuridae,Planigale,maculata,Pygmy planigale,10,5.8,captivity,small,acceptable,0.067
942,Animalia,Chordata,Aves,Passeriformes,Phylloscopidae,Phylloscopus,trochilus,Willow warbler,8.7,11.8,wild,medium,acceptable,0.208
626,Animalia,Chordata,Aves,Passeriformes,Acrocephalidae,Acrocephalus,palustris,Marsh warbler,11.5,9.8,wild,medium,acceptable,0.203
2848,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Crocidura,russula,White-toothed shrew,11.6,4,captivity,tiny,acceptable,0.143
1978,Animalia,Chordata,Mammalia,Chiroptera,Miniopteridae,Miniopterus,schreibersii,Schreibers's long-fingered bat,13,22,wild,medium,acceptable,0.145
627,Animalia,Chordata,Aves,Passeriformes,Acrocephalidae,Acrocephalus,schoenobaenus,Sedge warbler,11.8,11.8,wild,medium,acceptable,0.218
916,Animalia,Chordata,Aves,Passeriformes,Parulidae,Setophaga,coronata,Yellow-rumped (myrtle) warbler,12,10,wild,medium,acceptable,0.1895
707,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Amphispiza,bilineata,Black-throated sparrow,13.5,6,wild,medium,acceptable,0.1988
855,Animalia,Chordata,Aves,Passeriformes,Muscicapidae,Ficedula,hypoleuca,European pied flycatcher,13.9,15,wild,large,acceptable,0.232
1993,Animalia,Chordata,Mammalia,Chiroptera,Phyllostomidae,Macrotus,californicus,California leaf-nosed bat,11.6,17,captivity,small,acceptable,0.082
2847,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Crocidura,leucodon,Bicolored shrew,11,2.9,captivity,small,acceptable,0.166
736,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Spizella,passerina,Chipping sparrow,12.2,11.8,wild,large,acceptable,0.1945
2055,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Myotis,velifer,Cave myotis,10.1,11.3,wild,medium,acceptable,0.04
915,Animalia,Chordata,Aves,Passeriformes,Parulidae,Setophaga,citrina,Hooded warbler,10.6,8.2,wild,medium,acceptable,0.21538
926,Animalia,Chordata,Aves,Passeriformes,Parulidae,Setophaga,pinus,Pine warbler,11.8,10.2,unknown,medium,acceptable,0.1795
2552,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Peromyscus,polionotus,Oldfield mouse,14,5.5,captivity,medium,acceptable,0.12
1015,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Empidonax,virescens,Acadian flycatcher,12.6,12.1,wild,medium,acceptable,0.1795
631,Animalia,Chordata,Aves,Passeriformes,Acrocephalidae,Hippolais,icterina,Icterine warbler,13.2,10.8,wild,medium,acceptable,0.252
111,Animalia,Chordata,Amphibia,Caudata,Ambystomatidae,Ambystoma,maculatum,Spotted salamander,12.84,32,unknown,medium,acceptable,0.005
907,Animalia,Chordata,Aves,Passeriformes,Parulidae,Protonotaria,citrea,Prothonotary warbler,14.3,8.1,wild,small,acceptable,0.1994
779,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Serinus,canaria,House canary,24.3,24,captivity,medium,acceptable,0.230065
1981,Animalia,Chordata,Mammalia,Chiroptera,Molossidae,Tadarida,brasiliensis,Brazilian free-tailed bat,12.5,12,captivity,tiny,acceptable,0.117
2033,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Eptesicus,fuscus,Big brown bat,23,19,wild,medium,acceptable,0.113
763,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Himatione,sanguinea,Apapane,13.4,11,captivity,small,acceptable,0.3
784,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Spinus,tristis,American goldfinch,12.8,13,unknown,medium,acceptable,0.4108
794,Animalia,Chordata,Aves,Passeriformes,Hirundinidae,Riparia,riparia,Bank swallow,12.7,10,wild,large,acceptable,0.2328
706,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Ammodramus,savannarum,Grasshopper sparrow,17.6,9.1,wild,medium,acceptable,0.1796
1006,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Contopus,virens,Eastern wood pewee,13.9,8.2,wild,small,acceptable,0.2576
747,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Acanthis,flammea,Common redpoll,14.2,12.2,wild,medium,acceptable,0.2888
781,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Spinus,pinus,Pine siskin,12.7,11,unknown,medium,acceptable,0.3003
2142,Animalia,Chordata,Mammalia,Diprotodontia,Acrobatidae,Acrobates,pygmaeus,Pygmy gliding possum,13,8.8,captivity,large,high,0.084
138,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Desmognathus,quadramaculatus,Black-bellied salamander,14.34,15,captivity,small,acceptable,0.00411
859,Animalia,Chordata,Aves,Passeriformes,Muscicapidae,Muscicapa,striata,Spotted flycatcher,15.9,11.8,captivity,tiny,acceptable,0.2476
850,Animalia,Chordata,Aves,Passeriformes,Motacillidae,Motacilla,flava,Yellow wagtail,17.7,8.8,wild,medium,acceptable,0.257
721,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Melospiza,georgiana,Swamp sparrow,16.1,7.8,wild,medium,acceptable,0.211
1988,Animalia,Chordata,Mammalia,Chiroptera,Phyllostomidae,Carollia,perspicillata,Seba's short-tailed bat,15,17,captivity,large,high,0.24
2622,Animalia,Chordata,Mammalia,Rodentia,Heteromyidae,Chaetodipus,formosus,Long-tailed pocket mouse,19,7.1,captivity,small,acceptable,0.103
3152,Animalia,Chordata,Reptilia,Squamata,Lacertidae,Lacerta,viridis,European green lizard,21.5,10,unknown,medium,acceptable,0.00337
727,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Passerculus,sandwichensis,Savannah sparrow,20.2,18,captivity,medium,acceptable,0.221
2112,Animalia,Chordata,Mammalia,Dasyuromorphia,Dasyuridae,Sminthopsis,crassicaudata,Fat-tailed dunnart,15,5,captivity,small,acceptable,0.121
2853,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Neomys,fodiens,Eurasian water shrew,15,3.1,captivity,small,acceptable,0.328
948,Animalia,Chordata,Aves,Passeriformes,Prunellidae,Prunella,modularis,Hedge sparrow,20.2,20.8,wild,large,acceptable,0.325
937,Animalia,Chordata,Aves,Passeriformes,Passeridae,Passer,montanus,Eurasian tree sparrow,20.5,13.1,wild,medium,acceptable,0.2007
718,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Emberiza,schoeniclus,Reed bunting,18.4,12.2,wild,medium,acceptable,0.3
852,Animalia,Chordata,Aves,Passeriformes,Muscicapidae,Erithacus,rubecula,European robin,17.3,19.3,wild,large,acceptable,0.281
719,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Junco,hyemalis,Dark-eyed junco,19,11.3,wild,large,acceptable,0.2959
790,Animalia,Chordata,Aves,Passeriformes,Hirundinidae,Hirundo,rustica,Barn swallow,18.3,16,unknown,medium,acceptable,0.3158
848,Animalia,Chordata,Aves,Passeriformes,Motacillidae,Motacilla,alba,White wagtail,24.1,13.7,wild,medium,acceptable,0.3
2697,Animalia,Chordata,Mammalia,Rodentia,Muridae,Mus,musculus,House mouse,20.5,4,captivity,large,high,0.271
3206,Animalia,Chordata,Reptilia,Squamata,Teiidae,Cnemidophorus,tigris,Western whiptail,18,7.8,wild,medium,acceptable,0.017
906,Animalia,Chordata,Aves,Passeriformes,Parulidae,Parkesia,noveboracensis,Northern waterthrush,16.3,8.9,wild,small,acceptable,0.28391
844,Animalia,Chordata,Aves,Passeriformes,Motacillidae,Anthus,pratensis,Meadow pipit,18.4,8.8,wild,medium,acceptable,0.3
908,Animalia,Chordata,Aves,Passeriformes,Parulidae,Seiurus,aurocapilla,Ovenbird,18.8,11,wild,medium,acceptable,0.24475
175,Animalia,Chordata,Amphibia,Caudata,Salamandridae,Salamandra,salamandra,European fire salamander,19.1,24,captivity,medium,acceptable,0.00857
723,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Melospiza,melodia,Song sparrow,22.7,11.3,wild,medium,acceptable,0.25
2545,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Onychomys,torridus,Southern grasshopper mouse,22,4.6,captivity,small,acceptable,0.165
