Station,Lat,Lon,Divisions,Year,Count,Type
Abbeyfeale,52.3873,-9.29,Limerick,2003,20,Theft
Abbeyleix,52.9127,-7.3438,Laois/Offaly,2003,41,Theft
Adare,52.5639,-8.7921,Limerick,2003,22,Theft
Aglish,52.0716,-7.8221,Waterford,2003,5,Theft
Ahascragh,53.3957,-8.3306,Galway,2003,3,Theft
Ailt an Chorrain,54.9849,-8.4386,Donegal,2003,9,Theft
An Bun Beag,55.0656,-8.2895,Donegal,2003,25,Theft
An Charraig,54.6579,-8.6331,Donegal,2003,7,Theft
An Cheathru Rua,53.2645,-9.6005,Galway,2003,10,Theft
An Clochan Liath,54.9516,-8.3613,Donegal,2003,18,Theft
An Coirean,51.8311,-10.1742,Kerry,2003,5,Theft
An Craoslach,55.1253,-7.9126,Donegal,2003,6,Theft
An Fál Carrach,55.137,-8.102,Donegal,2003,25,Theft
An Maim,53.5107,-9.5649,Galway,2003,14,Theft
An Rinn,52.0484,-7.5931,Waterford,2003,5,Theft
An Spideal,53.2454,-9.3056,Galway,2003,33,Theft
Anglesea Street,51.8958,-8.465,Cork City,2003,1452,Theft
Annascaul,52.1524,-10.0525,Kerry,2003,4,Theft
Aran Mor,53.2721,-8.9319,Galway,2003,138,Theft
Ard An Rátha,54.7645,-8.4095,Donegal,2003,12,Theft
Ardee,53.8549,-6.5411,Louth,2003,48,Theft
Ardfert,52.3235,-9.7789,Kerry,2003,21,Theft
Ardfinnan,52.3118,-7.8783,Tipperary,2003,7,Theft
Ardmore,51.951,-7.7282,Waterford,2003,6,Theft
Ardnacrusha,52.7077,-8.6131,Limerick,2003,50,Theft
Ardrahan,53.1566,-8.8065,Galway,2003,4,Theft
Arklow,52.7963,-6.1546,Wicklow,2003,216,Theft
Arles,52.891000000000005,-7.0189,Laois/Offaly,2003,19,Theft
Arva,53.9254,-7.5838,Cavan/Monaghan,2003,4,Theft
Ashbourne,53.5114,-6.397,Meath,2003,205,Theft
Ashford,53.0139,-6.1073,Wicklow,2003,93,Theft
Askeaton,52.6006,-8.9712,Limerick,2003,15,Theft
Athea,52.4599,-9.2875,Limerick,2003,5,Theft
Athenry,53.2997,-8.7497,Galway,2003,11,Theft
Athleague,53.5687,-8.2524,Roscommon/Longford,2003,8,Theft
Athlone,53.4233,-7.9447,Westmeath,2003,585,Theft
Athy,52.9902,-6.9882,Kildare,2003,201,Theft
Aughrim,52.856,-6.3268,Wicklow,2003,21,Theft
Avoca,52.8588,-6.2129,Wicklow,2003,16,Theft
Baile Atha Bui,53.6236,-6.9159,Meath,2003,32,Theft
