Name,Url,Telephone,Longitude,Latitude,AddressRegion,AddressLocality,AddressCountry,Type,Popularity,Capacity
The Cathedral View Apartments,http://cathedralviewapartments.ie/,+353(0)433336450,-7.7967141710000005,53.72636087,Longford,Longford Town,Republic of Ireland,Self Catering,5,36
Newlands Lodge,http://www.newlandslodge.com,+353(0)567729862,-7.26364,52.59256,Kilkenny,Kilkenny City,Republic of Ireland,Self Catering,2,5
Winnies Cottage,,+353(0)862565044,-9.83953,51.828457,Kerry,Sneem,Republic of Ireland,Self Catering,5,30
Caiseal Mara Hotel,http://www.caisealmarahotel.com/,+353(0)749382600,-7.041132867000001,55.18812079,Donegal,Moville,Republic of Ireland,Hotel,2,173
Feerick's Hotel,http://www.feericks.ie/,+353(0)436676025,-7.521209,53.656852,Westmeath,Rathowen,Republic of Ireland,Hotel,5,114
Mill Farm Fern Cottage,http://www.millfarmcottage.com,+353(0)51565782,-6.748026682000001,52.31420976,Wexford,Foulkesmill,Republic of Ireland,Self Catering,5,4
Kilmore Cottage,http://www.kilmorecottage.com/,+353(0)539135487,-6.545995802,52.20228207,Wexford,Kilmore,Republic of Ireland,Self Catering,5,25
Armcashel B&B,http://www.armcashel.com,+353(0)949620117,-8.512525,53.768893000000006,Roscommon,Castlerea,Republic of Ireland,B & B,3,5
Druids Glen Hotel & Golf Resort,http://www.druidsglenresort.com,+353(0)12870847,-6.078792,53.091626,Wicklow,Newtown Mount Kennedy,Republic of Ireland,Hotel,4,292
Stella Maris Country House Hotel,http://www.stellamarisireland.com,+353(0)9643322,-9.392421,54.299556,Mayo,Ballycastle,Republic of Ireland,Hotel,1,95
The Midlands Park Hotel,http://www.midlandsparkhotel.com,+353(0)578678588,-7.303044,53.034916,Laois,Portlaoise,Republic of Ireland,Hotel,2,125
Carnegie Court Hotel,http://www.carnegiecourthotel.com/,+353(0)18404384,-6.217837,53.462472,Dublin,Swords,Republic of Ireland,Hotel,5,247
The Martello Hotel,http://www.themartello.ie/index.htm,+353(0)12868000,-6.096550719,53.19997483,Wicklow,Bray,Republic of Ireland,Hotel,5,64
Castle Durrow Country House Hotel,http://www.castledurrow.com,+353(0)578736555,-7.402574,52.846167,Laois,Durrow,Republic of Ireland,Hotel,2,205
Clayton Hotel Limerick,http://www.claytonhotellimerick.com,+353(0)61444100,-8.637177000000001,52.660476,Limerick,Limerick City,Republic of Ireland,Hotel,2,316
