Name,Url,Telephone,Longitude,Latitude,AddressRegion,AddressLocality,AddressCountry,Tags,Type,Popularity
St. Moling's Trail - Driving Route,http://carlowtourism.com/,+353(0)599131554,-6.927646676,52.6008546,Carlow,,Ireland,"Activity Operator,Church Abbey,Monastery,Churches,Abbeys and Monastery,Historic Houses and Castle,Museums and Attraction,Ruins,Tour",Museum,6.217791710516929
St. Patrick's Trail - Driving Route,http://www.carlowtourism.com,+353(0)599131554,-6.928555,52.836569999999995,Carlow,,Ireland,"Activity Operator,Church Abbey,Monastery,Churches,Abbeys and Monastery,Museums and Attraction,Ruins,Historic Houses and Castle",Museum,8.021407555871612
Whiskey Island - Dublin Distillery Trail,https://www.whiskeyisland.ie/dublin-distillery-trail/,35316877747,-6.2595459,53.3442059,Dublin,Dublin,Ireland,"Activity Operator,Museums and Attraction",Museum,7.551963995465568
Irish Whiskey Museum,http://www.irishwhiskeymuseum.ie,+353(0)15250970,-6.259589373,53.34424924,Dublin,,Republic of Ireland,"Activity Operator,Museums and Attraction,Food and Drink,Pubs and Bar,Food Shops,Shopping,Tour",Museum,8.737944729625417
Bram Stoker’s Castle Dracula Experience Dublin,http://www.CastleDracula.ie,+353(0)18512151,-6.229030364,53.36303247,Dublin,Clontarf,Ireland,"Activity Operator,Museums and Attraction,Literary Ireland,Venue,Music,Food Shops,Shopping",Museum,4.161198926120376
Valentia Slate,https://www.facebook.com/ValentiaSlate/,3.53862E+11,-10.3427468,51.9251401,Kerry,,Ireland,"Activity Operator,Natural Landscape,Tour",Walk/Nature,4.999560542419413
Kissane Sheep Farm,https://www.kissanesheepfarm.com/,3.53647E+11,-9.632594699999999,51.948642299999996,Kerry,,Ireland,"Agriculture,Nature and Wildlife,Visitor Farm,Tour",Walk/Nature,5.224159509275922
Dublin Art Life,http://dublinartlife.com,,-6.2603097000000005,53.34980529999999,Dublin,Dublin City,Republic of Ireland,"Art Gallery,Museums and Attraction",Museum,3.6018156082451034
Cahore Beach ,,,-6.197159,52.5590215,Wexford,Cahore,Ireland,Beach,Beach,5.493255898072472
Derrymore Beach,,+353(0)667121288,-9.842923401,52.24068427,Kerry,Derrymore,Republic of Ireland,Beach,Beach,6.410052255924782
Gurteen Beach,,,-9.960840282000001,53.37948911,Galway,Roundstone,Ireland,Beach,Beach,5.979816860746687
Balbriggan Beach,,+353(0)18400077,-6.182411859,53.61201653,Dublin,Swords,Republic of Ireland,Beach,Beach,2.8990087096180073
Arklow Beach,,,-6.126780942000001,52.81185983,Wicklow,Arklow,Ireland,Beach,Beach,4.075276457926276
Ballybunion North Beach,https://www.blueflag.global/show-site?siteId=6641,3.53667E+11,-9.681072438,52.50507167,Kerry,Ballybunion,Republic of Ireland,Beach,Beach,3.9362956822199857
Baginbun Beach,,,-6.929461999999999,52.123762,Wexford,,Republic of Ireland,Beach,Beach,4.322167434846787
Carnivan Beach,,,-6.830589669,52.17620032,Wexford,,Republic of Ireland,Beach,Beach,4.214462293642319
Woodstown Beach,,,-6.983563056,52.19287649,Waterford,Woodstown,Republic of Ireland,Beach,Beach,5.88812499435292
Kilpatrick Beach,,,-6.151020143999999,52.72790513,Wexford,Castletown,Republic of Ireland,Beach,Beach,1.9699337086716548
Curragh Beach,,,-7.70896021,51.96696584,Waterford,Ardmore,Ireland,Beach,Beach,4.280299005904958
Portrane Beach,,+353(0)18400077,-6.1113520260000005,53.49614512,Dublin,Portrane,Republic of Ireland,Beach,Beach,4.688648158866386
Poulshone Beach,,,-6.224555489,52.61782494,Wexford,Poulshone,Republic of Ireland,Beach,Beach,5.150409509445071
Camp Beach,,+353(0)667121288,-9.922619032,52.22567895,Kerry,Camp,Republic of Ireland,Beach,Beach,4.171444267128826
Culleton’s Gap Beach ,,,-6.365338225,52.3718065,Wexford,Curracloe,Ireland,Beach,Beach,4.6692611840944425
Garnish Beach,,,-10.132944,51.614852299999995,Cork,,Ireland,Beach,Beach,5.068726012179456
Kilmichael Strand,,,-6.141523234,52.73541348,Wexford,Castletown,Republic of Ireland,Beach,Beach,7.6467581712603785
Ardamine Beach,,,-6.226382459,52.64386973,Wexford,Courtown,Republic of Ireland,Beach,Beach,3.7515319899495125
Roney Point Beach,,,-6.211656302000001,52.59954632,Wexford,Courtown,Republic of Ireland,Beach,Beach,4.002122869602565
Barnageara Beach,,+353(0)18400077,-6.148359036,53.58666584,Dublin,,Republic of Ireland,Beach,Beach,5.108820301285005
Littor Beach,,,-9.578705900000001,52.5737055,Kerry,,Ireland,Beach,Beach,4.834261075687829
Goats Island ,,,-7.761013,51.9456704,Waterford,,Ireland,Beach,Beach,3.193832428314527
Glascarrig Beach,,,-6.204060286,52.58147885,Wexford,Cahore,Republic of Ireland,Beach,Beach,4.15641473167999
Courtown  Beach,,,-6.2260467,52.647958200000005,Wexford,Courtown,Ireland,Beach,Beach,3.4402477005151084
Glanteenassig Wood,http://www.coillteoutdoors.ie,+353(0)667163378,-10.02929126,52.20570913,Kerry,Castlegregory,Republic of Ireland,"Bird Watching,Nature and Wildlife,Cycling,Fishing,Angling,Walking,Forest Park,Park and Forest Walk,Natural Landscape",Walk/Nature,4.197101132790122
Inishbofin Island (Inis Bó Finne),http://www.donegalislands.com,+353(0)749135635,-8.170623921,55.1678058,Donegal,,Ireland,"Bird Watching,Nature and Wildlife,Kayaking,Activity Operator,Kitesurfing,Windsurfing,Walking,Beach,Island,Offshore Island,Natural Landscape",Walk/Nature,4.636609235065443
The Wexford Slobs and Wildfowl Reserve,https://www.wexfordwildfowlreserve.ie,3.53761E+11,-6.4200302,52.3570279,Wexford,,Ireland,"Bird Watching,Nature and Wildlife,Learning,Photography,Forest Park,Park and Forest Walk,Walking,National Park,National and Forest Park,Natural Landscape",Walk/Nature,4.418517515774183
The Barony Of Erris Birdwatching,https://www.mayo-ireland.ie/en/towns-villages/bangor/bangor-activities-birdwatching.html,+353(0)9782292,-9.990733019,54.223720400000005,Mayo,,Republic of Ireland,"Bird Watching,Nature and Wildlife,Natural Landscape",Walk/Nature,5.114546065268688
