Station,Lat,Lon,Year,Thefts
Abbeyfeale,52.3873,-9.29,2003,20
Abbeyleix,52.9127,-7.3438,2003,41
Adare,52.5639,-8.7921,2003,22
Aglish,52.0716,-7.8221,2003,5
Ahascragh,53.3957,-8.3306,2003,3
Ailt an Chorrain,54.9849,-8.4386,2003,9
An Bun Beag,55.0656,-8.2895,2003,25
An Charraig,54.6579,-8.6331,2003,7
An Cheathru Rua,53.2645,-9.6005,2003,10
An Clochan Liath,54.9516,-8.3613,2003,18
An Coirean,51.8311,-10.1742,2003,5
An Craoslach,55.1253,-7.9126,2003,6
An Fál Carrach,55.137,-8.102,2003,25
An Maim,53.5107,-9.5649,2003,14
An Rinn,52.0484,-7.5931,2003,5
An Spideal,53.2454,-9.3056,2003,33
Anglesea Street,51.8958,-8.465,2003,1452
Annascaul,52.1524,-10.0525,2003,4
Aran Mor,53.2721,-8.9319,2003,138
Ard An Rátha,54.7645,-8.4095,2003,12
Ardee,53.8549,-6.5411,2003,48
Ardfert,52.3235,-9.7789,2003,21
Ardfinnan,52.3118,-7.8783,2003,7
Ardmore,51.951,-7.7282,2003,6
Ardnacrusha,52.7077,-8.6131,2003,50
Ardrahan,53.1566,-8.8065,2003,4
Arklow,52.7963,-6.1546,2003,216
Arles,52.891000000000005,-7.0189,2003,19
Arva,53.9254,-7.5838,2003,4
Ashbourne,53.5114,-6.397,2003,205
Ashford,53.0139,-6.1073,2003,93
Askeaton,52.6006,-8.9712,2003,15
Athea,52.4599,-9.2875,2003,5
Athenry,53.2997,-8.7497,2003,11
Athleague,53.5687,-8.2524,2003,8
Athlone,53.4233,-7.9447,2003,585
Athy,52.9902,-6.9882,2003,201
Aughrim,52.856,-6.3268,2003,21
Avoca,52.8588,-6.2129,2003,16
Baile Atha Bui,53.6236,-6.9159,2003,32
Baile an Fheirtéaraigh,52.1659,-10.4062,2003,2
Baile Bhuirne,51.9458,-9.1692,2003,7
Bailieboro,53.9152,-6.9696,2003,47
Balbriggan,53.6143,-6.1912,2003,132
Balla,53.8019,-9.1299,2003,18
Ballaghderreen,53.8999,-8.5846,2003,30
Ballina,54.1129,-9.1604,2003,153
Ballinagh,53.9311,-7.4096,2003,11
Ballinamore,54.0546,-7.797000000000001,2003,14
Ballinasloe,53.3284,-8.2236,2003,118
Ballincollig,51.8882,-8.5903,2003,109
Ballindine,53.6696,-8.9577,2003,20
Ballineen,51.7359,-8.9489,2003,11
Ballingarry,52.4721,-8.8628,2003,9
Ballingarry North,53.0184,-8.0305,2003,1
Ballingarry South,52.586000000000006,-7.541,2003,8
Ballinhassig,51.8041,-8.5705,2003,16
Ballinlough,53.7408,-8.6358,2003,17
Ballinrobe,53.6246,-9.2262,2003,40
Ballintra,54.5778,-8.1254,2003,38
Ballivor,53.5327,-6.9672,2003,19
Ballon,52.7432,-6.7722,2003,14
Ballybay,54.1289,-6.9048,2003,28
Ballybofey,54.7996,-7.781000000000001,2003,85
Ballybunion,52.5113,-9.6702,2003,47
Ballyconnell,54.119,-7.5802,2003,20
Ballycotton,51.8303,-8.0131,2003,3
Ballycroy,54.0258,-9.8259,2003,3
Ballycullane,52.2789,-6.8392,2003,14
Ballydehob,51.5591,-9.4608,2003,8
Ballydesmond,52.1782,-9.231,2003,6
Ballyduff,52.4559,-9.6631,2003,7
Ballyfermot,53.3448,-6.358,2003,662
Ballygar,53.5219,-8.3284,2003,10
Ballyhale,52.4683,-7.2015,2003,13
Ballyhaunis,53.763999999999996,-8.7674,2003,32
Ballyheigue,52.3892,-9.8275,2003,5
Ballyjamesduff,53.8631,-7.2088,2003,15
Ballylanders,52.3707,-8.3455,2003,12
Ballylinan,52.943000000000005,-7.0432,2003,13
Ballymacarberry,52.2672,-7.7177,2003,2
Ballymahon,53.5613,-7.7608,2003,11
Ballymore,53.4911,-7.6817,2003,5
Ballymote,54.0874,-8.5152,2003,20
Ballymun,53.3945,-6.2637,2003,337
Ballynacargy,53.5863,-7.5349,2003,7
Ballyneety,52.5973,-8.5489,2003,26
Ballynoe,52.0602,-8.0993,2003,13
Ballyporeen,52.2702,-8.0977,2003,4
Ballyshannon,54.4987,-8.2048,2003,70
Ballyvaughan,53.1162,-9.1471,2003,17
Baltimore,51.4835,-9.3723,2003,6
Baltinglass,52.93899999999999,-6.7098,2003,77
Banagher,53.1905,-7.9859,2003,16
Bandon,51.7451,-8.7399,2003,63
Bangor Erris,54.144,-9.7471,2003,4
Bansha,52.4493,-8.0656,2003,8
Bantry,51.6803,-9.4552,2003,69
Barnaderg,53.4805,-8.7225,2003,2
Barraduff,52.0598,-9.3409,2003,2
Beal an Mhuirthead,54.2217,-9.9856,2003,21
Beal Atha an Ghaorthaidh,51.8519,-9.229,2003,8
Belturbet,54.1012,-7.4426,2003,26
Bennettsbridge,52.5903,-7.1832,2003,7
Birr,53.096000000000004,-7.9115,2003,109
Bishopstown,51.8807,-8.5146,2003,267
Blacklion,54.2915,-7.8762,2003,7
Blackrock Co Cork,51.8943,-8.4045,2003,142
Blackrock Co Dublin,53.2998,-6.1775,2003,632
Blackrock Co Louth,53.9638,-6.3682,2003,52
Blackwater,52.4454,-6.3488,2003,9
Blanchardstown,53.3899,-6.381,2003,1657
Blarney,51.931999999999995,-8.5677,2003,105
Blessington,53.1703,-6.5337,2003,94
