name,sex,event,equipment,age,age_class,division,bodyweight_kg,weight_class_kg,best3squat_kg,best3bench_kg,best3deadlift_kg,place,date,federation,meet_name,year
Olesya Lafina,F,SBD,Single-ply,19.5,20-23,Juniors,43.3,44,165,87.5,120,1,05/10/1999,IPF,World Juniors Powerlifting Championships,1999
Chun-Ju Chen,F,SBD,Single-ply,16.5,16-17,Juniors,43.5,44,150,55,160,2,05/10/1999,IPF,World Juniors Powerlifting Championships,1999
Stefanie McMillian,F,SBD,Single-ply,19.5,20-23,Juniors,43.8,44,110,55,135,3,05/10/1999,IPF,World Juniors Powerlifting Championships,1999
Vanessa Serrano,F,SBD,Single-ply,22.5,20-23,Juniors,44,44,110,60,120,4,05/10/1999,IPF,World Juniors Powerlifting Championships,1999
Elzbieta Kleszczynska,F,SBD,Single-ply,19.5,20-23,Juniors,43.7,44,100,70,107.5,5,05/10/1999,IPF,World Juniors Powerlifting Championships,1999
Barbara Bartoszuk,F,SBD,Single-ply,21.5,20-23,Juniors,44,44,95,50,107.5,6,05/10/1999,IPF,World Juniors Powerlifting Championships,1999
Georgia Dowsett,F,SBD,Single-ply,17.5,18-19,Juniors,42.7,44,60,27.5,87.5,7,05/10/1999,IPF,World Juniors Powerlifting Championships,1999
Hsin-Yi Chou,F,SBD,Single-ply,18.5,18-19,Juniors,47.7,48,140,60,172.5,1,05/10/1999,IPF,World Juniors Powerlifting Championships,1999
Olga Legotkina,F,SBD,Single-ply,22.5,20-23,Juniors,47.9,48,142.5,65,135,2,05/10/1999,IPF,World Juniors Powerlifting Championships,1999
Jennifer Maile,F,SBD,Single-ply,14.5,13-15,Juniors,47.9,48,130,62.5,135,3,05/10/1999,IPF,World Juniors Powerlifting Championships,1999
Magdalena Podhorodecka,F,SBD,Single-ply,14.5,13-15,Juniors,48,48,125,55,137.5,4,05/10/1999,IPF,World Juniors Powerlifting Championships,1999
Iryna Trubilina,F,SBD,Single-ply,22.5,20-23,Juniors,47.9,48,120,65,125,5,05/10/1999,IPF,World Juniors Powerlifting Championships,1999
Tatyana Eltsova,F,SBD,Single-ply,20.5,20-23,Juniors,51.8,52,165,90,160,1,05/10/1999,IPF,World Juniors Powerlifting Championships,1999
Kuan-Ting Chen,F,SBD,Single-ply,21.5,20-23,Juniors,50.8,52,172.5,80,137.5,2,05/10/1999,IPF,World Juniors Powerlifting Championships,1999
Oxana Gordyenko,F,SBD,Single-ply,21.5,20-23,Juniors,52,52,132.5,70,155,3,05/10/1999,IPF,World Juniors Powerlifting Championships,1999
